Latitude (X),Longitude(Y),Depth
-74.5296600,39.4968700,0.0000000
-74.5296700,39.4968700,0.0000000
-74.5296800,39.4968800,0.0000000
-74.5296900,39.4968800,0.0000000
-74.5297000,39.4968800,0.0000000
-74.5297100,39.4968800,0.0000000
-74.5297200,39.4968900,0.0000000
-74.5297300,39.4969000,0.0000000
-74.5297500,39.4969200,0.0000000
-74.5297600,39.4969300,0.0000000
-74.5297700,39.4969400,0.0000000
-74.5297900,39.4969500,0.0000000
-74.5297800,39.4969500,0.0000000
-74.5297900,39.4969600,0.0000000
-74.5298000,39.4969700,0.0000000
-74.5298200,39.4969900,0.0000000
-74.5298300,39.4969900,0.0000000
-74.5298500,39.4970000,0.0000000
-74.5298500,39.4970100,0.0000000
-74.5298600,39.4970200,0.0000000
-74.5298800,39.4970300,0.0000000
-74.5298800,39.4970400,0.0000000
-74.5298800,39.4970400,0.0000000
-74.5298800,39.4970500,0.0000000
-74.5299000,39.4970600,0.0000000
-74.5299100,39.4970700,0.0000000
-74.5299100,39.4970800,0.0000000
-74.5299200,39.4970900,0.0000000
-74.5299300,39.4971000,0.0000000
-74.5299400,39.4971000,0.0000000
-74.5299400,39.4971200,0.0000000
-74.5299500,39.4971200,0.0000000
-74.5299500,39.4971300,0.0000000
-74.5299500,39.4971400,0.0000000
-74.5299700,39.4971400,0.0000000
-74.5299800,39.4971400,0.0000000
-74.5299900,39.4971500,0.0000000
-74.5300100,39.4971500,0.0000000
-74.5300100,39.4971600,0.0000000
-74.5300300,39.4971600,0.0000000
-74.5300400,39.4971600,0.0000000
-74.5300600,39.4971600,0.0000000
-74.5300800,39.4971600,0.0000000
-74.5300800,39.4971700,0.0000000
-74.5300900,39.4971700,0.0000000
-74.5301000,39.4971800,0.0000000
-74.5301100,39.4971800,0.0000000
-74.5301300,39.4971800,0.0000000
-74.5301400,39.4971800,0.0000000
-74.5301600,39.4971800,0.0000000
-74.5301700,39.4971800,0.0000000
-74.5301900,39.4971700,0.0000000
-74.5302000,39.4971600,0.0000000
-74.5302100,39.4971500,0.0000000
-74.5302200,39.4971500,0.0000000
-74.5302400,39.4971400,0.0000000
-74.5302500,39.4971300,0.0000000
-74.5302600,39.4971300,0.0000000
-74.5302700,39.4971200,0.0000000
-74.5303000,39.4971200,0.0000000
-74.5303000,39.4971200,0.0000000
-74.5303200,39.4971100,0.0000000
-74.5303300,39.4971100,0.0000000
-74.5303500,39.4971000,0.0000000
-74.5303600,39.4971000,0.0000000
-74.5303800,39.4971000,0.0000000
-74.5303900,39.4970900,0.0000000
-74.5304000,39.4970900,0.0000000
-74.5304000,39.4970900,0.0000000
-74.5304000,39.4970800,0.0000000
-74.5304200,39.4970700,0.0000000
-74.5304200,39.4970600,0.0000000
-74.5304200,39.4970600,0.0000000
-74.5304300,39.4970500,0.0000000
-74.5304400,39.4970400,0.0000000
-74.5304500,39.4970400,0.0000000
-74.5304600,39.4970400,0.0000000
-74.5304600,39.4970400,0.0000000
-74.5304800,39.4970400,0.0000000
-74.5304900,39.4970300,0.0000000
-74.5305100,39.4970300,0.0000000
-74.5305300,39.4970200,0.0000000
-74.5305300,39.4970200,0.0000000
-74.5305500,39.4970200,0.0000000
-74.5305600,39.4970100,0.0000000
-74.5305700,39.4970100,0.0000000
-74.5305900,39.4970100,0.0000000
-74.5306000,39.4970100,0.0000000
-74.5306200,39.4970000,0.0000000
-74.5306200,39.4969900,0.0000000
-74.5306200,39.4969900,0.0000000
-74.5306400,39.4969800,0.0000000
-74.5306500,39.4969900,0.0000000
-74.5306500,39.4969900,0.0000000
-74.5306800,39.4969800,0.0000000
-74.5306900,39.4969700,0.0000000
-74.5307200,39.4969600,0.0000000
-74.5307300,39.4969500,0.0000000
-74.5307400,39.4969500,0.0000000
-74.5307500,39.4969400,0.0000000
-74.5307700,39.4969400,0.0000000
-74.5307900,39.4969400,0.0000000
-74.5308000,39.4969400,0.0000000
-74.5308200,39.4969500,0.0000000
-74.5308200,39.4969600,0.0000000
-74.5308400,39.4969600,0.0000000
-74.5308500,39.4969700,0.0000000
-74.5308700,39.4969600,0.0000000
-74.5308800,39.4969600,0.0000000
-74.5308800,39.4969600,0.0000000
-74.5308900,39.4969600,0.0000000
-74.5308900,39.4969600,0.0000000
-74.5309000,39.4969600,0.0000000
